ABBBS.No.,Date,Year,Sex,Subspecies,Plasma.T,LPlasma.T,Time_delay_sec,jul_date,T_aft_sunrise,andr.detected
36173,8/12/15,2015,M,M.a.moretoni,82.99,4.418720119,130,224,2580,0
47714,7/16/15,2015,M,M.a.moretoni,85.35,4.446760449,277,197,9567,0
47719,11/4/15,2015,M,M.a.moretoni,85.83,4.452368596,360,308,3960,0
47718,11/4/15,2015,F,M.a.moretoni,86.96,4.465448243,180,308,8820,0
47733,11/13/15,2015,F,M.a.moretoni,87.4,4.470495283,302,317,2902,0
47622,7/1/15,2015,F,M.a.lorentzi,87.63,4.473123405,305,182,12240,0
47639,7/5/15,2015,F,M.a.lorentzi,87.7,4.473921899,412,186,4140,0
36027,7/19/15,2015,F,M.a.moretoni,88.39,4.481758841,226,200,12088,0
47617,6/30/15,2015,F,M.a.lorentzi,88.87,4.487174628,210,181,24720,0
47657,7/8/15,2015,F,M.a.lorentzi,89.22,4.49110523,365,189,45360,0
47784,11/20/15,2015,F,M.a.moretoni,91.37,4.514917197,135,324,35355,0
47654,7/8/15,2015,F,M.a.lorentzi,93.61,4.539137215,308,189,4800,0
47625,7/2/15,2015,F,M.a.lorentzi,95.63,4.560486578,175,183,12240,0
47666,7/10/15,2015,F,M.a.lorentzi,96.52,4.569750241,262,191,9055,0
47703,7/15/15,2015,M,M.a.moretoni,98.06,4.585579536,164,196,16080,0
47741,8/6/15,2015,F,M.a.moretoni,100.56,4.610754564,211,218,36600,0
36148,7/22/15,2015,F,M.a.moretoni,101.17,4.61680227,206,203,10654,0
36148,11/4/15,2015,F,M.a.moretoni,102.28,4.62771415,240,308,6180,0
47707,7/19/15,2015,F,M.a.moretoni,110.27,4.702931904,138,200,38160,0
47784,10/28/15,2015,F,M.a.moretoni,110.98,4.709350005,180,301,2640,0
11034,11/16/15,2015,F,M.a.moretoni,119.58,4.783985603,258,320,2040,0
36198,10/2/15,2015,F,M.a.moretoni,126.39,4.839372365,180,275,3960,0
47712,7/16/15,2015,F,M.a.moretoni,146.49,4.986957167,235,197,1586,0
47630,7/3/15,2015,F,M.a.lorentzi,190.07,5.247392425,195,184,4860,0
